source_ip,total_packet_count,unique_dest_ports,protocol_diversity,avg_packet_length,max_packet_length,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,avg_conn_rate,max_conn_rate,session_duration,packets_per_second,proto_tcp_pct,proto_vnc_pct,proto_tlsv12_pct,proto_sshv2_pct,proto_dns_pct,proto_tds_pct,proto_telnet_pct,proto_http_pct,dominant_protocol,dominant_dest_port
199.232.162.132,36,2,2,1068.4166666666667,1514.0,0.05555555555555555,0.9166666666666666,0.05555555555555555,0.0,0.3333333333333333,18.5,36.0,0.46964399999706075,76.65380586194075,91.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,TCP,34808.0
47.89.152.217,194,2,8,78.8659793814433,583.0,0.20103092783505155,0.7422680412371134,0.1958762886597938,0.005154639175257732,0.11855670103092783,35.824742268041234,61.0,944.501357000001,0.20539938726631157,94.3298969072165,0.5154639175257731,0.5154639175257731,0.0,0.0,0.0,0.0,1.5463917525773196,TCP,5555.0
95.214.55.253,5,1,2,71.4,85.0,0.2,0.6,0.2,0.0,0.0,3.0,5.0,0.26891299999988405,18.593374065226136,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,1883.0
103.110.33.159,14,1,1,95.78571428571429,416.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.07142857142857142,0.14285714285714285,7.5,14.0,46.887323999995715,0.2985881642552533,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5555.0
71.6.134.233,33,1,2,73.72727272727273,191.0,0.12121212121212122,0.6666666666666666,0.09090909090909091,0.030303030303030304,0.0,5.757575757575758,15.0,2241.4424499999986,0.01472266218568316,78.78787878787878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,21.0
23.155.24.5,21,1,2,69.52380952380952,82.0,0.09523809523809523,0.6190476190476191,0.09523809523809523,0.0,0.0,5.761904761904762,11.0,44761.209114000005,0.0004691562273600829,71.42857142857143,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
172.104.17.67,4,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,5.0009270000009565,0.7998517074932777,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,8443.0
167.94.138.109,4,1,1,68.0,74.0,0.25,0.75,0.0,0.25,0.0,2.5,4.0,5.000718999996025,0.7998849765410093,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,143.0
34.32.252.253,4,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,5.00126100000125,0.7997982908708424,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,9200.0
23.129.64.144,10,1,2,69.7,82.0,0.1,0.6,0.1,0.0,0.0,5.5,10.0,1.7288429999971413,5.784215223716981,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
154.92.16.151,4,1,1,68.0,74.0,0.25,0.75,0.0,0.25,0.0,2.5,4.0,5.000697999999829,0.7998883355883791,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,22.0
42.117.1.27,12,1,2,88.08333333333333,274.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,6.5,12.0,5.00098600000274,2.3995268133111,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,TCP,1433.0
220.246.64.193,20,1,2,203.85,1514.0,0.05,0.6,0.05,0.0,0.05,10.5,20.0,11.013489999997546,1.8159547972535914,65.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,TCP,22.0
192.241.220.18,10,1,2,68.4,74.0,0.2,0.7,0.2,0.0,0.0,3.1,6.0,212.7046379999956,0.047013549370748586,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5432.0
23.129.64.142,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,7.883617999999842,1.3952984530706867,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
185.220.101.56,44,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,18687.093619000003,0.002354566252895701,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
34.224.61.73,7,1,2,68.85714285714286,78.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,4.0,7.0,0.08495899999979883,82.39268352989765,85.71428571428571,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
78.47.216.151,20,2,2,72.4,98.0,0.15,0.65,0.1,0.05,0.0,7.3,16.0,21034.145948999998,0.0009508348971473613,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,TCP,22.0
218.92.0.108,252,1,2,149.35714285714286,922.0,0.07142857142857142,0.5,0.07142857142857142,0.0,0.0,7.5,14.0,72537.440088,0.003474068008111149,57.14285714285714,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,TCP,22.0
87.236.176.24,5,1,2,156.2,509.0,0.2,0.6,0.2,0.0,0.0,3.0,5.0,0.21649999999499414,23.094688222242997,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,995.0
182.61.47.229,186,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,82788.470087,0.002246689663482584,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
185.220.101.62,29,1,2,69.24137931034483,82.0,0.10344827586206896,0.6551724137931034,0.10344827586206896,0.0,0.0,5.517241379310345,11.0,76942.76930900001,0.00037690351231753577,75.86206896551724,24.137931034482758,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
47.252.31.135,95,1,2,86.26315789473684,621.0,0.14736842105263157,0.7368421052631579,0.14736842105263157,0.0,0.010526315789473684,35.36842105263158,80.0,174.36642200000642,0.5448296690976231,88.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,11.578947368421053,TCP,80.0
141.98.11.181,396,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,84514.598332,0.004685581045352509,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
64.62.197.21,4,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,5.001304999997956,0.799791254482907,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,9200.0
137.226.113.56,14,1,2,70.85714285714286,97.0,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.07142857142857142,0.0,7.5,14.0,5.001323999997112,2.799258756282953,78.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,1883.0
110.183.17.100,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,32.102427000005264,0.28035263502035296,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
118.89.56.206,192,1,2,69.33333333333333,78.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,3.5,6.0,84311.22500800001,0.0022772768392557664,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
205.210.31.171,4,1,1,68.0,74.0,0.25,0.75,0.25,0.25,0.0,2.5,4.0,31.592737999999372,0.12661137505714382,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,135.0
205.185.117.149,10,1,2,69.7,82.0,0.1,0.6,0.1,0.0,0.0,5.5,10.0,2.047276999997848,4.884536875083592,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
23.128.248.32,33,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,3637.3349830000006,0.009072576530408608,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
117.63.108.11,56,1,2,109.96428571428571,578.0,0.05357142857142857,0.5357142857142857,0.03571428571428571,0.017857142857142856,0.0,28.5,56.0,31.939731999999935,1.7533021253904106,58.92857142857143,0.0,0.0,0.0,0.0,0.0,41.07142857142857,0.0,TCP,23.0
221.2.155.199,4,1,1,68.0,74.0,0.25,0.75,0.25,0.0,0.0,2.5,4.0,5.001679000000877,0.7997314501788897,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5432.0
178.249.209.167,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,2.053589999995893,5.3564732979913225,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
222.142.95.98,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,31.36648100000457,0.28693049755880135,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
185.220.101.38,88,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,7.375,22.0,72507.64730499999,0.0012136650859713067,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
59.89.97.136,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,31.993572999999742,0.2813064986520909,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
185.220.101.35,88,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,7.375,22.0,73888.556126,0.001190982807269047,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
